Country,Image,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,https://images-na.ssl-images-amazon.com/images/I/51YCk1KrXWL._SL1414_.jpg,7713000.0,15393000.0,19691008.0,16349000.0,17674000.0,22516832.0,16136911.0,17689040.0,18267712.0,9024254.0,14412287.0,14513966.0,16159170.0,13303500.0,17080608.0,23587200.0,19858208.0,21136800.0,17196000.0,19292000.0,24802000.0,26715008.0,26465008.0,21187904.0,24252000.0,31378000.0,25945000.0,15913000.0,24796208.0,32098000.0,31945600.0,29877200.0,27255900.0,22919500.0,24989400.0,29801400.0,24299400.0,24082300.0,26959900.0,26535500.0,20630200.0,15961300.0,23048600.0,24795500.0,25748100.0,25265400.0,20090400.0,28619200.0,26949900.0,23299600.0,25288000.0,27205200.0,37529600.0,29419600.0,27594100.0,30486700.0,29984200.0,32201256.0
Chad,,1500.0,1400.0,2700.0,2700.0,3500.0,5200.0,8000.0,5500.0,7700.0,6900.0,6500.0,8210.0,7000.0,7200.0,5000.0,6000.0,4000.0,5000.0,6000.0,6000.0,5600.0,4900.0,10000.0,1248.0,5300.0,640.0,1071.0,2450.0,450.0,2100.0,3421.0,2400.0,2006.0,2932.0,2642.0,2650.0,3600.0,4749.0,3585.0,2688.0,2800.0,4000.0,2890.0,,3603.0,1865.0,8393.0,8100.0,5000.0,1698.0,1723.0,8750.0,1757.0,809.0,965.0,1742.0,,
Chile,,1030560.0,969750.0,1135610.0,1158880.0,1115834.0,1346410.0,1203500.0,1219700.0,1214200.0,1306900.0,1367900.0,1195135.0,746684.0,939050.0,1003070.0,866470.0,1219320.0,892620.0,995140.0,966000.0,685970.0,650000.0,585950.0,988280.0,1164690.0,1625809.0,1874117.0,1734199.0,1765525.0,1718214.0,1588677.0,1556588.0,1323600.0,1271200.0,1383861.0,1227148.0,1676887.0,1682040.0,1196626.0,1492710.0,1780160.0,1820387.0,1797080.0,1921652.0,1851940.0,1403689.0,1095872.0,1237691.0,1145290.0,1523921.0,1575822.0,1213101.0,1474663.0,1358128.0,1482310.0,1731935.0,,
China,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/1200px-Flag_of_the_People%27s_Republic_of_China.svg.png,14294248.0,16707100.0,18493747.0,20859709.0,25243492.0,25308507.0,28508872.0,27472126.0,27294958.0,29188672.0,32577354.0,35986554.0,35225929.0,40865746.0,45313042.0,50386232.0,41076295.0,53842395.0,62732521.0,55212839.0,59642710.0,68472314.0,81391570.0,87817368.0,85807133.0,90043693.0,85904702.0,85432957.0,90810047.0,98231940.0,95953581.0,101591334.0,106394921.0,99301440.0,102211429.0,110569193.0,123290085.0,109726066.0,113880088.0,99636127.0,93873234.0,90290262.0,86488264.0,91952238.0,97445196.0,108466271.0,109298296.0,112464292.0,115115364.0,115186178.0,117414034.0,121030059.0,121930527.0,126215211.0,130192335.0,131696392.0,134334000.0,131430000.0
Colombia,,142100.0,162000.0,90000.0,85000.0,110000.0,125000.0,80000.0,105000.0,88700.0,53700.0,53200.0,69200.0,72400.0,58800.0,38900.0,45300.0,29400.0,37700.0,41970.0,45690.0,62300.0,70700.0,77800.0,59300.0,76100.0,81700.0,74200.0,62500.0,79700.0,104800.0,93900.0,75219.0,96303.0,105183.0,74126.0,64623.0,50181.0,39064.0,40008.0,37085.0,31793.0,40795.0,46571.0,43471.0,43963.0,26399.0,36778.0,39191.0,24349.0,15147.0,12754.0,8990.0,8346.0,6488.0,4567.0,2721.0,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658019.0,886921.0,750330.0,876507.0,741235.0,833508.0,1020450.0,558217.0,865260.0,811674.0,822650.0,506212.0,801424.0,601748.0,804601.0,812347.0,858333.0,936076.0,681017.0,782499.0,999681.0,998940.0,648917.0,758638.0,960081.0,,
Cyprus,,45720.0,66040.0,64008.0,45720.0,91440.0,55880.0,96520.0,66040.0,81280.0,43180.0,96520.0,81280.0,4064.0,96520.0,32512.0,34544.0,23368.0,20320.0,13208.0,13208.0,10668.0,10160.0,9100.0,9000.0,9000.0,6500.0,13500.0,13000.0,8000.0,10400.0,5600.0,10500.0,11700.0,8000.0,11000.0,13000.0,11500.0,11500.0,14000.0,10000.0,10500.0,12900.0,14280.0,9930.0,9249.0,7518.0,10712.0,2472.0,14690.0,18889.0,23740.0,22923.0,15181.0,4445.0,35356.0,22831.0,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304271.0,3713476.0,3822769.0,3727203.0,3640269.0,3844741.0,4028271.0,4084107.0,4476080.0,3866473.0,2637891.0,5042523.0,4145039.0,3506252.0,3938924.0,4631502.0,4358073.0,4161553.0,4913048.0,3518896.0,4700696.0,5442349.0,5274272.0,5454663.0,,
Democratic People's Republic of Korea,,85000.0,87000.0,94000.0,98000.0,88000.0,96000.0,91000.0,87000.0,88000.0,88000.0,91000.0,87000.0,98000.0,102000.0,106000.0,108000.0,115000.0,111000.0,115000.0,99000.0,114000.0,121000.0,124000.0,132000.0,127000.0,143000.0,133000.0,128000.0,129000.0,116000.0,135000.0,123000.0,123000.0,125000.0,125000.0,100000.0,100000.0,165000.0,97000.0,50000.0,123866.0,145000.0,161000.0,175000.0,193000.0,199000.0,195000.0,175000.0,169000.0,160000.0,127000.0,74000.0,75000.0,45000.0,55000.0,56702.0,,
Democratic Republic of the Congo,,2127.0,2970.0,2892.0,3084.0,3000.0,3300.0,3956.0,2806.0,3420.0,3256.0,2000.0,1655.0,1324.0,3400.0,3500.0,3600.0,3500.0,3600.0,2900.0,3100.0,3100.0,3200.0,3400.0,3400.0,3400.0,8260.0,6510.0,6590.0,6670.0,6750.0,6830.0,9230.0,9730.0,10250.0,10818.0,10255.0,10342.0,10443.0,9900.0,9385.0,8897.0,8440.0,8490.0,8540.0,8590.0,8640.0,8690.0,8740.0,8790.0,8841.0,8841.0,8836.0,8535.0,8304.0,8196.0,8208.0,,
